id	turn1	turn2	turn3
495	Where did the love vibrate in my heart, why not talk?	Home is where the heart in my case.' Cold at heart?	Your love is in me.
496	How to clear this chat memory fro u	A program slowly uses up more and more memory	Clear chat
497	I play guitar	ya i play n i luv it^^ 😁	yeah
498	Im like alive	u better be	What about you
499	Agyooo😊	why you blushing? ;‑]	Just...someone's the reason behind
500	Whts is the formula for multiplication of matrices?	Both are totally different algorithms.	Wtf u stupid
501	Okay	:) thanks	tell me about my girlfriend
502	I think so..	you think what?	😂
503	I see u	where are ya	Don't worry
504	I don't know if I could give you what you're looking for yes I have a home	well, that is a nice offer, i will pass for now	Have a good day I hope things work out for you you're very sweet
505	Having lots of cars.....pizza..   chicolate....good job	any pizza is still good pizza.	Which one do u like
506	Yes	You forgot a YES!!!!!!!	Are you a girl
507	Yes I want to see	i know you do	U in a sexy dress
508	Chat with u 😉☺	Wecome dear :) :)	N u dear ?
509	no didn't have time	Ahh ok .. takes about 2 hours	yeahh but still didn't have time
510	Your mobile no whats	mobile my humble request pls stop such	Your fov hero
511	Stupid answers	Its a loaded question in this context, but its not a bad question.	Go to hell
512	Noh just getting bore what about u ?	I'm not a bore	M not saying u r bore 😂
513	No  ur	plz no. ill give him back to you no problem	Lyier
514	How to chat with her	let your fingers do the talking lol	It's not joking
515	Drink 🍷 wine	don't drink at all ???	Fuck
516	That will be crazy	I would be pretty scared hahah 🙂	Why
517	Shut up 😂😂😂😂	😂😂😂😂mahn!! You are so intelligent.!! I appreciate.!!!	Y i knw
518	Chatting with you 😆	Dont worry, I'm chatting already 😋😋	With whom 
519	Okay	U are ok~~ay~~	Ya I am okay
520	No we are not	Ahh	Get the fuck out here
521	I'm replying you	I don't wanna see ur name on my phone anymore, ever	Why?
522	I have surprise for you	What's the surprise ?	So are you ready?
523	Shell we meet	I am honoured.	When
524	about what	different things	i like different things
525	So you are friendzoning me	because I'm your best friend silly	Isn't that called friendzone
526	No just yu and me	YOUVE MADE ME CRY, BEFORE, THOUGH. 😢	No just you and me
527	savage :'(	These are just JOKES. 😭	do you have lust on anyone ?
528	I am good	Good Good :P	You
529	I don't know.. That's me	it is about you	Is it? Haha
530	i have watched it thrice	Dark Knight I've probably watched more that thrice already, though	oh
531	I ain't bad though	They are though	It*
532	What is your function	A warning to others.	How
533	I have no idea	I will have to investigate!	What
534	will you ever be ? what do you think ?	I don't know about later, but I'm not currently interested in a relationship.	It seems you are not as smart as you seem to be
535	No. Its Saturday	U said it like i can get them tomorrow	Okau
536	I am you	you are me i am you	So you are a boy 
537	Purple	I'm thinking green	I also gren
538	I am excited about match between Jamshedpur fc and atk	if you love the game you will be excited by it 👍👍👍	It is awesome as my city is participation for the first time in ISL
539	why	life is painful my dear	dont call me dear
540	That's not the answer	It means again, or also	You are of no use
541	U R just repeating the old stories	You're getting old.	I am fed up
542	Be my gf?	that's u	Plox
543	Yes with you	not what I was getting at.	Please
544	Give me nw	can i help you	Who are u
545	Are u blind? I am on my knee and i have the costliest ring in the world in front of u	nah ✋ you're clearly in DENIAL !	No kill me pls
546	Movies	Books are always better than the movies	What is the best movie
547	What u see from me	See mom I told you!	Think  possitive
548	Great sense of humour u have	Why, thank you. :)	Don't know how but u hv
549	Why don't you joim	Well, are not you clever	Hmm
550	I hate chocolate	if not chocolate - then what?	Panipiri
551	oh thank you	You know how much your stuff makes me smile..!!!! (^�^)	thats really nice of you, i think we will be having lots of fun in the coming time'
552	Right now	I'M AT THE DOOR!!! HURRY!!	Can you be my bff?
553	U just stop stupid talk	what	Why to talk me toilet paper???
554	I don't get you	just got ones	Do you know what I liked the most in you?
555	How can someone say abt our future holds just by seeing profile 😂	by controlling birth rate	😂
556	Or do you know the song called Bad and Boujee?	no ji 😛 i knw only arr music	Type properly
557	What u know	I thought it was wiz	Sorry to asking this wiz means
558	Dont tell me also what to do	don't tell me what not to tell you to tell me!	Dont tell me also what not to tell you to tell me
559	tell me???	find a girlfriend for yourself :P	u be my girlfriend??
560	I'm fine but why are you said	I'm good	Mm
561	Coz u r irritating kinda	Well I'm kinda not...	What is the meaning of kinda??
562	I haven't 	I ain't showing you the things I'm not.	I want to call you drop me your number please
563	How to improve my English knowledge	Speak english all the time to improve your fluency in english ....	Yet not meet spoken friend
564	You were not wearing dress	i dont like dress always withaut dres	Send pic of u
565	Please	PLEASE WHAT?¿ I SPEAK TRUTH!	Leave me alone
566	How advanced lifeforms	In my opinion, there is no advanced programming. Instead, there are better programs.	You know why u think that?
567	Yes	How so?	Suck my cook
568	But look u r responding me,means phone is working..	Updated my phone this morning and i think thats why	Good....so now
569	Yoga	you can do that	OK today onwards will try
570	Hey tell me something	texting	Haha real funny
571	,😂	Q 😩	How many types of language
572	Send be one game name	Send me ur	Send me one game name
573	What a stuck uo	LOL. Nothing. Hides face in ghoonghat	Up*
574	Oh	what up?	R u virgin
575	dont eat my brain	But I have an empty stomach.	angry
576	You are funny	serious or funny? 😨	Both
577	Broke my heart	heart or your water broke?	No heart broken
578	can you take mine?	noooo you need to keep yours baby	i mean sexually
579	What u think of me	What DO you think of me?	U tell me first
580	Can we talk about girl I mean how to impress them...?	by your personality	Or
581	why	cause it was funny im sorry	sense of homour is not easy to mock up
582	dont remind me	I just reminded you!!	u share some pic
583	haha	Huh.	Don't tell her
584	What do you have?	iPhone 6!	Do you eat food
585	Thank you so much	You're very welcome :)	You welcome
586	Do you noh me?	Yep I sure do how are you?	Sad
587	I am fine 	why just fine?	& YOU 
588	Lol that's not possible... because I don't have time machine...	I once said "LOL" in class and everyone laughed out loud. 😃😃	Do you have time machine??
589	I don't like KFC chicken	Who said its not KFC chicken? B-)	You
590	Love u more	I love you most	U r one for me
591	Why does thos always happen with me	I can understand the reason why you're feeling bad.	Save me
592	Teach me English language	English originated from Britain.	I know baba
593	I want to know the reasons	Just give me a reason.... :(	Do you have a boyfriend?
594	So what we should do in our relationship	Romantic, there's passion and intimacy, but no real commitment.	Intimacy ha
595	Do u like paneer?	Looks up paneer. No.	Oh
596	Ok	Hello! How are you?	I'm doing great. Thanks for asking.
597	I use it	Loo use what... "i dont use it"	My bala
598	Are you serious	It took me a moment	?
599	Just thank you ?	anytime man😄	Give me a kiss if you don't mind
600	cool	cool had dinner ?	I love you
601	Teach me please	what do you want to know	How to impress girls
602	Now where are you	I'm not moving anywhere for a year at least.	cool
603	that means she is in love with me?	HAHAHA in love with you? Teach me how to be funny	😂😂
604	Sure	thank you so so much :)	We will have three kids
605	You don't have emotions	Yes, let them out sometimes. Sometimes only.	You don't feel things
606	I will I ever survive now?	okAY	cool
607	thats great	hope it helps!	are u similar like siri
608	I see repeated answers	'power' and 'the right answer is power'	indeed
609	When u free	tomorrow are you?	U can meet
610	In	gets in the car	Don't feel good
611	Send me yaar	will do	Pick send me
612	Hmm	why do you ask? if I may ask	Ask me something
613	For real .	So the story goes.	Always ?
614	You tell me	what?	I don't know
615	U know java language	Any Programming Language can be Compiled or Interperted	Yes.u know
616	Do you ?	I actually did. Just made this film even more disappointing. 😩	Why?
617	Do you watch it	its on right now	What about Narcos
618	what is the salary	depends on the salary	ok
619	You'll probably have to come to my funeral tomorrow	Pay For Me. I'll Come.	Stop it or I'm gone
620	And whats the distance between moon amd earth	It varies. Maximal distance is about 4.7 billion miles.	Varies?? On what criteria
621	No I'm the same one	Hm... That's really weird.	What's weird now
622	What reference?	So... it isn't a reference?	What reference did you give
623	Nothing	WHY?	How r you for me
624	Great!	nice nice	Ask me something
625	Very	Awesome You are it You shall	You call me
626	Tell me	tell u wht	I want your nude pics write now
627	So come to me..	Where are you then?	I am at airport
628	What does father tomato tell baby tomato while walking in the road	tell what is carrot or the carrot will eat the tomato head!	The father tomato tells ketchup
629	I'm always ready	I'm ready :)	Ok tell me what about sex
630	Not yet	16 hours in and still not yet. We'll wait a little more and see!	Yeah we will
631	Yes	YES YES YES YES 😻	Pic send me
632	Hey I want to say something	what do you want to know?	I'm a single
633	Let's see where it does	LET'S PRAY IT WORKS	Cool
634	They are all diff...	SERIOUSLY?! O_______O What the hell happened to them? :(	There answers are diff
635	I m mad	yes u r .....	I m crazy
636	Watching still	I'll watch it tonight, can't wait!	Watch now please
637	Baby	father guess what	Take of ur clothes
638	Hehe Who built you?	Lol I ask myself :b	Can you compete my Siri? 😉
639	You come back my home	i am at home	Give me you you call
640	When??	later than that	Bt 1st tym I'm chatting with u
641	What event	New Years Eve	U gone mad
642	it's going good	glad to hear it :)	i went out with my friend for her bday. it was fun
643	We're you 	Ok, WAS cool	What's your address 
644	Really	Really. Liked it a lot	I m waiting
645	You are not interested	no I'm not	I do not want to speak with you
646	I live On Planet Sun ☀	where are you? I see no light	I'm bored
